VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
2526, 745, 0.54375, 4.07225, 0.05975, 0.97199, -0.21636, 0.09176, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.9943
2527, 739, 0.65486, 4.57588, 0.07024, 0.98795, -0.12349, 0.09327, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.93945
2528, 746, 0.3342, 4.14163, 0.39985, 0.98221, -0.01233, 0.18737, 0.80, 0.80, 0.80, 1.00, 0.71133, 0.99147
2529, 740, 0.48165, 4.5621, 0.58609, 0.90116, -0.01881, 0.43307, 0.80, 0.80, 0.80, 1.00, 0.73455, 0.94095
2530, 747, 0.1972, 4.14336, 0.7526, 0.64344, -0.06212, 0.76297, 0.80, 0.80, 0.80, 1.00, 0.77665, 0.98035
2531, 746, 0.3342, 4.14163, 0.39985, 0.98221, -0.01233, 0.18737, 0.80, 0.80, 0.80, 1.00, 0.71133, 0.99147
2532, 743, -0.03055, 4.56156, 0.86935, 0.19718, 0.12069, 0.97291, 0.80, 0.80, 0.80, 1.00, 0.82847, 0.941
2533, 747, 0.1972, 4.14336, 0.7526, 0.64344, -0.06212, 0.76297, 0.80, 0.80, 0.80, 1.00, 0.77665, 0.98035
2534, 741, 0.33982, 4.55374, 0.80071, 0.51079, 0.09134, 0.85483, 0.80, 0.80, 0.80, 1.00, 0.7777, 0.94186
2535, 747, 0.1972, 4.14336, 0.7526, 0.64344, -0.06212, 0.76297, 0.80, 0.80, 0.80, 1.00, 0.77665, 0.98035
2536, 740, 0.48165, 4.5621, 0.58609, 0.90116, -0.01881, 0.43307, 0.80, 0.80, 0.80, 1.00, 0.73455, 0.94095
2537, 741, 0.33982, 4.55374, 0.80071, 0.51079, 0.09134, 0.85483, 0.80, 0.80, 0.80, 1.00, 0.7777, 0.94186
2538, 747, 0.1972, 4.14336, 0.7526, 0.64344, -0.06212, 0.76297, 0.80, 0.80, 0.80, 1.00, 0.77665, 0.98035
2539, 743, -0.03055, 4.56156, 0.86935, 0.19718, 0.12069, 0.97291, 0.80, 0.80, 0.80, 1.00, 0.82847, 0.941
2540, 748, -0.22022, 4.10291, 0.88528, 0.31036, -0.1027, 0.94505, 0.80, 0.80, 0.80, 1.00, 0.83589, 0.97695
2541, 739, 0.65486, 4.57588, 0.07024, 0.98795, -0.12349, 0.09327, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.93945
2542, 740, 0.48165, 4.5621, 0.58609, 0.90116, -0.01881, 0.43307, 0.80, 0.80, 0.80, 1.00, 0.73455, 0.94095
2543, 746, 0.3342, 4.14163, 0.39985, 0.98221, -0.01233, 0.18737, 0.80, 0.80, 0.80, 1.00, 0.71133, 0.99147
2544, 708, 0.63357, 5.08827, 0.33297, 0.84382, -0.09814, 0.52758, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.87519
2545, 749, 0.7102, 5.19259, 0.28888, 0.77011, -0.45523, 0.44519, 0.80, 0.80, 0.80, 1.00, 0.54579, 0.84695
2546, 709, 0.31361, 5.27254, 0.53871, 0.22356, -0.4753, 0.85008, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.84348
2547, 749, 0.7102, 5.19259, 0.28888, 0.77011, -0.45523, 0.44519, 0.80, 0.80, 0.80, 1.00, 0.54579, 0.84695
2548, 708, 0.63357, 5.08827, 0.33297, 0.84382, -0.09814, 0.52758, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.87519
2549, 750, 0.79803, 5.10439, -0.16127, 0.97234, 0.02263, -0.23245, 0.80, 0.80, 0.80, 1.00, 0.53788, 0.87156
2550, 711, 0.38119, 5.42496, 0.67114, 0.23883, -0.42377, 0.87283, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.82468
2551, 709, 0.31361, 5.27254, 0.53871, 0.22356, -0.4753, 0.85008, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.84348
2552, 751, 0.92009, 5.37389, 0.33968, 0.69791, -0.4768, 0.53301, 0.80, 0.80, 0.80, 1.00, 0.51617, 0.82316
2553, 751, 0.92009, 5.37389, 0.33968, 0.69791, -0.4768, 0.53301, 0.80, 0.80, 0.80, 1.00, 0.51617, 0.82316
2554, 709, 0.31361, 5.27254, 0.53871, 0.22356, -0.4753, 0.85008, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.84348
2555, 749, 0.7102, 5.19259, 0.28888, 0.77011, -0.45523, 0.44519, 0.80, 0.80, 0.80, 1.00, 0.54579, 0.84695
2556, 752, 1.04036, 5.96949, 0.31417, 0.70437, -0.35441, 0.6137, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.74537
2557, 751, 0.92009, 5.37389, 0.33968, 0.69791, -0.4768, 0.53301, 0.80, 0.80, 0.80, 1.00, 0.51617, 0.82316
2558, 753, 1.12872, 6.00449, 0.08481, 0.9296, -0.3663, -0.00991, 0.80, 0.80, 0.80, 1.00, 0.48954, 0.74405
2559, 711, 0.38119, 5.42496, 0.67114, 0.23883, -0.42377, 0.87283, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.82468
2560, 751, 0.92009, 5.37389, 0.33968, 0.69791, -0.4768, 0.53301, 0.80, 0.80, 0.80, 1.00, 0.51617, 0.82316
2561, 715, 0.53555, 6.03081, 0.68182, 0.3615, -0.28796, 0.88584, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.74442
2562, 754, 1.09089, 6.21166, 0.37594, 0.77789, -0.16715, 0.60433, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.72113
2563, 752, 1.04036, 5.96949, 0.31417, 0.70437, -0.35441, 0.6137, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.74537
2564, 753, 1.12872, 6.00449, 0.08481, 0.9296, -0.3663, -0.00991, 0.80, 0.80, 0.80, 1.00, 0.48954, 0.74405
2565, 754, 1.09089, 6.21166, 0.37594, 0.77789, -0.16715, 0.60433, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.72113
2566, 753, 1.12872, 6.00449, 0.08481, 0.9296, -0.3663, -0.00991, 0.80, 0.80, 0.80, 1.00, 0.48954, 0.74405
2567, 755, 1.19017, 6.25708, 0.15672, 0.95804, -0.2042, 0.19684, 0.80, 0.80, 0.80, 1.00, 0.48261, 0.71756
2568, 718, 0.63397, 7.04254, 0.56515, 0.41983, 0.26546, 0.86704, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.63694
2569, 754, 1.09089, 6.21166, 0.37594, 0.77789, -0.16715, 0.60433, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.72113
2570, 756, 1.19667, 6.68475, 0.03451, 0.71428, 0.11106, 0.68978, 0.80, 0.80, 0.80, 1.00, 0.49349, 0.6389
2571, 718, 0.63397, 7.04254, 0.56515, 0.41983, 0.26546, 0.86704, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.63694
2572, 720, 0.57398, 6.26906, 0.72515, 0.35586, -0.22098, 0.90709, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.72087
2573, 754, 1.09089, 6.21166, 0.37594, 0.77789, -0.16715, 0.60433, 0.80, 0.80, 0.80, 1.00, 0.52069, 0.72113
2574, 749, 0.7102, 5.19259, 0.28888, 0.77011, -0.45523, 0.44519, 0.80, 0.80, 0.80, 1.00, 0.54579, 0.84695
